# Time [s]	Stress [Pa]	Strain
0.000000e+00	3.320000e+05	4.340000e-05
1.700000e-01	6.010000e+06	3.290000e-04
3.400000e-01	1.150000e+07	9.710000e-04
5.100000e-01	1.710000e+07	1.320000e-03
6.800000e-01	2.260000e+07	1.850000e-03
8.500000e-01	2.870000e+07	2.220000e-03
1.020000e+00	3.150000e+07	2.620000e-03
1.190000e+00	3.260000e+07	3.040000e-03
1.360000e+00	3.170000e+07	3.460000e-03
1.530000e+00	3.330000e+07	4.020000e-03
1.700000e+00	3.270000e+07	4.270000e-03
1.870000e+00	3.270000e+07	4.910000e-03
2.040000e+00	3.440000e+07	5.250000e-03
2.210000e+00	3.460000e+07	5.660000e-03
# Création : Jeudi 3 novembre 2011, 23:09:24
